y	x	color
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
2.0	0.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
3.0	1.0	orange
